loan_type,interest_rate,loan_term_months,inflation_rate,loan_amount,channel,amortization_method,total_monthly_payments,total_mortgage_interest,total_investment_amount,total_investment_final_value,total_investment_profit,total_investment_taxes,total_investment_profit_after_tax,total_investment_net_value_after_tax,total_cost_interest_minus_profit,extraction_timestamp,source_file
קבועה צמודה,3.63,300,4.0,100000,קבועה צמודה,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_002944,loan_קבועה צמודה_int_3.63_term_300_infl_4.0_summary.csv
קבועה לא צמודה,4.83,180,1.0,100000,קבועה לא צמודה,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225222,loan_קבועה לא צמודה_int_4.83_term_180_infl_1.0_summary.csv
קבועה צמודה,3.55,360,4.0,100000,קבועה צמודה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_004532,loan_קבועה צמודה_int_3.55_term_360_infl_4.0_summary.csv
קבועה צמודה,3.35,150,2.0,100000,קבועה צמודה,בוליט,150,47608.72,131549.66,208014.08,36337.91,12112.64,,195901.44,11270.81,20250724_234957,loan_קבועה צמודה_int_3.35_term_150_infl_2.0_summary.csv
דולר,3.63,300,1.0,100000,דולר,בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003237,loan_דולר_int_3.63_term_300_infl_1.0_summary.csv
דולר,3.35,150,2.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235326,loan_דולר_int_3.35_term_150_infl_2.0_summary.csv
משתנה צמודה כל 5,3.35,180,1.0,100000,משתנה צמודה כל 5,בוליט,180,54235.32,160889.01,279877.23,57793.02,19264.34,,260612.89,-3557.70,20250724_235826,loan_משתנה צמודה כל 5_int_3.35_term_180_infl_1.0_summary.csv
זכאות,3.55,330,2.0,100000,זכאות,בוליט,330,130228.28,265084.24,802326.55,289573.79,96524.60,,705801.95,-159345.52,20250725_003859,loan_זכאות_int_3.55_term_330_infl_2.0_summary.csv
משתנה צמודה כל 10,3.45,90,2.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234110,loan_משתנה צמודה כל 10_int_3.45_term_90_infl_2.0_summary.csv
דולר,3.55,330,3.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004058,loan_דולר_int_3.55_term_330_infl_3.0_summary.csv
פריים,4.92,120,4.0,100000,פריים,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_224930,loan_פריים_int_4.92_term_120_infl_4.0_summary.csv
משתנה צמודה כל 2,3.45,90,1.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234005,loan_משתנה צמודה כל 2_int_3.45_term_90_infl_1.0_summary.csv
משתנה לא צמודה כל 5,5.05,330,4.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231518,loan_משתנה לא צמודה כל 5_int_5.05_term_330_infl_4.0_summary.csv
יורו,3.83,30,3.0,100000,יורו,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232115,loan_יורו_int_3.83_term_30_infl_3.0_summary.csv
קבועה צמודה,3.83,60,4.0,100000,קבועה צמודה,בוליט,60,21230.96,49958.74,59573.37,4261.76,1420.59,,58152.78,16969.20,20250724_232645,loan_קבועה צמודה_int_3.83_term_60_infl_4.0_summary.csv
דולר,3.83,30,4.0,100000,דולר,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232221,loan_דולר_int_3.83_term_30_infl_4.0_summary.csv
יורו,3.63,270,1.0,100000,יורו,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002351,loan_יורו_int_3.63_term_270_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.83,60,1.0,100000,משתנה צמודה כל שנה,בוליט,60,19644.80,51490.72,61292.84,4343.87,1447.96,,59844.88,15300.93,20250724_233121,loan_משתנה צמודה כל שנה_int_3.83_term_60_infl_1.0_summary.csv
משתנה צמודה כל 2,3.45,90,2.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234018,loan_משתנה צמודה כל 2_int_3.45_term_90_infl_2.0_summary.csv
"עוגן מק""מ",3.55,330,1.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004124,"loan_עוגן מק""מ_int_3.55_term_330_infl_1.0_summary.csv"
משתנה צמודה כל 5,3.63,300,1.0,100000,משתנה צמודה כל 5,בוליט,300,103138.58,256049.80,678619.89,223045.06,74348.35,,604271.54,-119906.48,20250725_002957,loan_משתנה צמודה כל 5_int_3.63_term_300_infl_1.0_summary.csv
משתנה צמודה כל 10,3.55,330,2.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004413,loan_משתנה צמודה כל 10_int_3.55_term_330_infl_2.0_summary.csv
דולר,3.63,300,2.0,100000,דולר,בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003251,loan_דולר_int_3.63_term_300_infl_2.0_summary.csv
משתנה צמודה כל 5,3.63,270,3.0,100000,קבועה צמודה,בוליט,270,132565.58,190977.34,481791.30,151197.71,50399.24,,431392.06,-18632.13,20250725_002232,loan_משתנה צמודה כל 5_int_3.63_term_270_infl_3.0_summary.csv
"עוגן מק""מ",3.35,150,2.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235419,"loan_עוגן מק""מ_int_3.35_term_150_infl_2.0_summary.csv"
משתנה צמודה כל 10,3.45,90,4.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234136,loan_משתנה צמודה כל 10_int_3.45_term_90_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.45,90,1.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233914,loan_משתנה צמודה כל שנה_int_3.45_term_90_infl_1.0_summary.csv
דולר,3.55,330,2.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004045,loan_דולר_int_3.55_term_330_infl_2.0_summary.csv
משתנה צמודה כל 2,3.83,60,2.0,100000,משתנה צמודה כל 2,בוליט,60,20156.15,50996.55,60737.66,4317.15,1439.05,,59298.62,15839.00,20250724_233227,loan_משתנה צמודה כל 2_int_3.83_term_60_infl_2.0_summary.csv
"עוגן מק""מ",3.67,240,1.0,100000,"עוגן מק""מ",בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001743,"loan_עוגן מק""מ_int_3.67_term_240_infl_1.0_summary.csv"
"עוגן מק""מ",3.45,120,4.0,100000,"עוגן מק""מ",בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234653,"loan_עוגן מק""מ_int_3.45_term_120_infl_4.0_summary.csv"
משתנה צמודה כל 5,3.55,360,4.0,100000,משתנה צמודה כל 5,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_004625,loan_משתנה צמודה כל 5_int_3.55_term_360_infl_4.0_summary.csv
קבועה לא צמודה,4.83,180,3.0,100000,קבועה לא צמודה,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225248,loan_קבועה לא צמודה_int_4.83_term_180_infl_3.0_summary.csv
משתנה צמודה כל 2,3.63,300,1.0,100000,משתנה צמודה כל 2,בוליט,300,103138.58,256049.80,678619.89,223045.06,74348.35,,604271.54,-119906.48,20250725_003516,loan_משתנה צמודה כל 2_int_3.63_term_300_infl_1.0_summary.csv
קבועה צמודה,3.63,270,1.0,100000,קבועה צמודה,בוליט,270,91626.85,231551.95,550411.17,164989.38,54996.46,,495414.71,-73362.54,20250725_002113,loan_קבועה צמודה_int_3.63_term_270_infl_1.0_summary.csv
דולר,3.55,330,1.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004031,loan_דולר_int_3.55_term_330_infl_1.0_summary.csv
משתנה לא צמודה כל 5,5.05,360,3.0,100000,משתנה לא צמודה כל 5,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231744,loan_משתנה לא צמודה כל 5_int_5.05_term_360_infl_3.0_summary.csv
קבועה צמודה,3.35,180,2.0,100000,קבועה צמודה,בוליט,180,58642.47,156534.27,273657.04,56916.94,18972.31,,254684.73,1725.53,20250724_235746,loan_קבועה צמודה_int_3.35_term_180_infl_2.0_summary.csv
משתנה צמודה כל 2,3.83,30,4.0,100000,משתנה צמודה כל 2,בוליט,300,164639.99,195026.15,564878.82,196497.97,65499.32,,499379.50,-31857.98,20250724_232459,loan_משתנה צמודה כל 2_int_3.83_term_30_infl_4.0_summary.csv
משתנה צמודה כל 2,3.55,360,1.0,100000,משתנה צמודה כל שנה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005104,loan_משתנה צמודה כל 2_int_3.55_term_360_infl_1.0_summary.csv
"עוגן מק""מ",3.67,210,3.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001017,"loan_עוגן מק""מ_int_3.67_term_210_infl_3.0_summary.csv"
משתנה צמודה כל 10,3.35,150,3.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235707,loan_משתנה צמודה כל 10_int_3.35_term_150_infl_3.0_summary.csv
פריים,4.83,180,3.0,100000,פריים,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225155,loan_פריים_int_4.83_term_180_infl_3.0_summary.csv
קבועה לא צמודה,5.04,30,4.0,100000,קבועה לא צמודה,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_230053,loan_קבועה לא צמודה_int_5.04_term_30_infl_4.0_summary.csv
קבועה לא צמודה,4.97,270,4.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231122,loan_קבועה לא צמודה_int_4.97_term_270_infl_4.0_summary.csv
משתנה צמודה כל 5,3.67,240,3.0,100000,משתנה צמודה כל 5,בוליט,240,100656.71,186700.14,409234.82,113070.11,37690.04,,371544.78,-12413.40,20250725_001437,loan_משתנה צמודה כל 5_int_3.67_term_240_infl_3.0_summary.csv
דולר,3.83,30,1.0,100000,דולר,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232141,loan_דולר_int_3.83_term_30_infl_1.0_summary.csv
יורו,3.35,180,3.0,100000,יורו,בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000038,loan_יורו_int_3.35_term_180_infl_3.0_summary.csv
משתנה צמודה כל 2,3.55,360,4.0,100000,משתנה צמודה כל שנה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005143,loan_משתנה צמודה כל 2_int_3.55_term_360_infl_4.0_summary.csv
"עוגן מק""מ",3.55,360,2.0,100000,"עוגן מק""מ",בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004932,"loan_עוגן מק""מ_int_3.55_term_360_infl_2.0_summary.csv"
קבועה לא צמודה,4.97,270,1.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231043,loan_קבועה לא צמודה_int_4.97_term_270_infl_1.0_summary.csv
משתנה צמודה כל 5,3.67,210,1.0,100000,קבועה צמודה,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000620,loan_משתנה צמודה כל 5_int_3.67_term_210_infl_1.0_summary.csv
"עוגן מק""מ",3.55,360,4.0,100000,"עוגן מק""מ",בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004958,"loan_עוגן מק""מ_int_3.55_term_360_infl_4.0_summary.csv"
פריים,5.05,360,2.0,100000,פריים,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231545,loan_פריים_int_5.05_term_360_infl_2.0_summary.csv
זכאות,3.35,150,4.0,100000,זכאות,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235207,loan_זכאות_int_3.35_term_150_infl_4.0_summary.csv
זכאות,3.35,150,2.0,100000,זכאות,בוליט,150,47608.72,131549.66,208014.08,36337.91,12112.64,,195901.44,11270.81,20250724_235141,loan_זכאות_int_3.35_term_150_infl_2.0_summary.csv
זכאות,3.35,180,4.0,100000,זכאות,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250724_235959,loan_זכאות_int_3.35_term_180_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.96,210,3.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230924,loan_משתנה לא צמודה כל 5_int_4.96_term_210_infl_3.0_summary.csv
פריים,4.83,180,1.0,100000,פריים,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225129,loan_פריים_int_4.83_term_180_infl_1.0_summary.csv
יורו,3.63,270,3.0,100000,יורו,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002418,loan_יורו_int_3.63_term_270_infl_3.0_summary.csv
משתנה צמודה כל 10,3.55,360,4.0,100000,משתנה צמודה כל 10,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005236,loan_משתנה צמודה כל 10_int_3.55_term_360_infl_4.0_summary.csv
"עוגן מק""מ",3.35,150,1.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235406,"loan_עוגן מק""מ_int_3.35_term_150_infl_1.0_summary.csv"
דולר,3.67,210,4.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000938,loan_דולר_int_3.67_term_210_infl_4.0_summary.csv
קבועה לא צמודה,4.97,270,3.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231109,loan_קבועה לא צמודה_int_4.97_term_270_infl_3.0_summary.csv
פריים,5.04,60,3.0,100000,פריים,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224638,loan_פריים_int_5.04_term_60_infl_3.0_summary.csv
פריים,4.83,180,2.0,100000,פריים,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225142,loan_פריים_int_4.83_term_180_infl_2.0_summary.csv
קבועה לא צמודה,4.97,300,2.0,100000,קבועה לא צמודה,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225754,loan_קבועה לא צמודה_int_4.97_term_300_infl_2.0_summary.csv
פריים,5.05,330,3.0,100000,פריים,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231320,loan_פריים_int_5.05_term_330_infl_3.0_summary.csv
משתנה צמודה כל 2,3.83,60,1.0,100000,משתנה צמודה כל 2,בוליט,60,19644.80,51490.72,61292.84,4343.87,1447.96,,59844.88,15300.93,20250724_233214,loan_משתנה צמודה כל 2_int_3.83_term_60_infl_1.0_summary.csv
משתנה צמודה כל 2,3.55,330,2.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004321,loan_משתנה צמודה כל 2_int_3.55_term_330_infl_2.0_summary.csv
קבועה לא צמודה,5.05,330,1.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231347,loan_קבועה לא צמודה_int_5.05_term_330_infl_1.0_summary.csv
פריים,5.04,30,2.0,100000,פריים,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_225934,loan_פריים_int_5.04_term_30_infl_2.0_summary.csv
קבועה צמודה,3.45,120,2.0,100000,קבועה צמודה,בוליט,120,38220.50,104930.60,150539.88,21186.01,7062.00,,143477.87,17034.48,20250724_234202,loan_קבועה צמודה_int_3.45_term_120_infl_2.0_summary.csv
קבועה צמודה,3.63,270,4.0,100000,קבועה צמודה,בוליט,270,132565.58,190977.34,481791.30,151197.71,50399.24,,431392.06,-18632.13,20250725_002153,loan_קבועה צמודה_int_3.63_term_270_infl_4.0_summary.csv
"עוגן מק""מ",3.55,330,4.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004203,"loan_עוגן מק""מ_int_3.55_term_330_infl_4.0_summary.csv"
קבועה לא צמודה,4.96,210,4.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230845,loan_קבועה לא צמודה_int_4.96_term_210_infl_4.0_summary.csv
משתנה צמודה כל 5,3.67,210,4.0,100000,קבועה צמודה,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000659,loan_משתנה צמודה כל 5_int_3.67_term_210_infl_4.0_summary.csv
יורו,3.55,330,4.0,100000,יורו,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004018,loan_יורו_int_3.55_term_330_infl_4.0_summary.csv
משתנה צמודה כל 10,3.67,240,3.0,100000,משתנה צמודה כל 10,בוליט,240,100656.71,186700.14,409234.82,113070.11,37690.04,,371544.78,-12413.40,20250725_002047,loan_משתנה צמודה כל 10_int_3.67_term_240_infl_3.0_summary.csv
משתנה צמודה כל 2,3.45,120,4.0,100000,משתנה צמודה כל שנה,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234838,loan_משתנה צמודה כל 2_int_3.45_term_120_infl_4.0_summary.csv
משתנה צמודה כל 2,3.55,360,2.0,100000,משתנה צמודה כל שנה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005117,loan_משתנה צמודה כל 2_int_3.55_term_360_infl_2.0_summary.csv
משתנה צמודה כל 2,3.35,150,1.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235549,loan_משתנה צמודה כל 2_int_3.35_term_150_infl_1.0_summary.csv
יורו,3.63,300,2.0,100000,יורו,בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003157,loan_יורו_int_3.63_term_300_infl_2.0_summary.csv
משתנה לא צמודה כל 5,5.05,330,2.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231453,loan_משתנה לא צמודה כל 5_int_5.05_term_330_infl_2.0_summary.csv
משתנה צמודה כל 2,3.35,180,2.0,100000,משתנה צמודה כל 2,בוליט,180,58642.47,156534.27,273657.04,56916.94,18972.31,,254684.73,1725.53,20250725_000356,loan_משתנה צמודה כל 2_int_3.35_term_180_infl_2.0_summary.csv
"עוגן מק""מ",3.63,270,1.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002537,"loan_עוגן מק""מ_int_3.63_term_270_infl_1.0_summary.csv"
משתנה צמודה כל שנה,3.55,360,2.0,100000,משתנה צמודה כל שנה,בוליט,360,146007.53,285331.24,972324.80,377346.65,125782.22,,846542.59,-231339.11,20250725_005025,loan_משתנה צמודה כל שנה_int_3.55_term_360_infl_2.0_summary.csv
"עוגן מק""מ",3.83,60,4.0,100000,"עוגן מק""מ",בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233108,"loan_עוגן מק""מ_int_3.83_term_60_infl_4.0_summary.csv"
פריים,4.96,240,1.0,100000,פריים,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225408,loan_פריים_int_4.96_term_240_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.92,90,1.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230344,loan_משתנה לא צמודה כל 5_int_4.92_term_90_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.92,120,1.0,100000,משתנה לא צמודה כל 5,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225036,loan_משתנה לא צמודה כל 5_int_4.92_term_120_infl_1.0_summary.csv
משתנה צמודה כל 10,3.35,150,1.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235641,loan_משתנה צמודה כל 10_int_3.35_term_150_infl_1.0_summary.csv
קבועה לא צמודה,5.05,330,3.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231413,loan_קבועה לא צמודה_int_5.05_term_330_infl_3.0_summary.csv
פריים,5.04,30,1.0,100000,פריים,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_225920,loan_פריים_int_5.04_term_30_infl_1.0_summary.csv
קבועה צמודה,3.35,180,1.0,100000,קבועה צמודה,בוליט,180,54235.32,160889.01,279877.23,57793.02,19264.34,,260612.89,-3557.70,20250724_235733,loan_קבועה צמודה_int_3.35_term_180_infl_1.0_summary.csv
משתנה צמודה כל 5,3.67,240,2.0,100000,משתנה צמודה כל 5,בוליט,240,90308.96,196947.13,425579.53,116023.11,38674.37,,386905.16,-25714.15,20250725_001424,loan_משתנה צמודה כל 5_int_3.67_term_240_infl_2.0_summary.csv
משתנה צמודה כל 10,3.83,30,1.0,100000,משתנה צמודה כל 10,בוליט,360,134042.95,297187.83,987609.04,378536.80,126178.93,,861430.10,-244493.85,20250724_232512,loan_משתנה צמודה כל 10_int_3.83_term_30_infl_1.0_summary.csv
משתנה צמודה כל 5,3.35,150,4.0,100000,קבועה צמודה,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235115,loan_משתנה צמודה כל 5_int_3.35_term_150_infl_4.0_summary.csv
משתנה צמודה כל 5,3.45,90,3.0,100000,קבועה צמודה,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233518,loan_משתנה צמודה כל 5_int_3.45_term_90_infl_3.0_summary.csv
משתנה לא צמודה כל 5,4.92,120,4.0,100000,משתנה לא צמודה כל 5,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225115,loan_משתנה לא צמודה כל 5_int_4.92_term_120_infl_4.0_summary.csv
משתנה צמודה כל 5,3.55,330,2.0,100000,קבועה צמודה,בוליט,330,177973.74,217713.37,713071.76,268391.24,89463.75,,623608.02,-90417.50,20250725_003807,loan_משתנה צמודה כל 5_int_3.55_term_330_infl_2.0_summary.csv
משתנה צמודה כל 10,3.83,60,2.0,100000,משתנה צמודה כל 10,בוליט,360,157523.62,273857.65,938423.64,365175.01,121725.00,,816698.63,-207651.39,20250724_233320,loan_משתנה צמודה כל 10_int_3.83_term_60_infl_2.0_summary.csv
יורו,3.35,180,2.0,100000,יורו,בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000025,loan_יורו_int_3.35_term_180_infl_2.0_summary.csv
קבועה צמודה,3.83,60,1.0,100000,קבועה צמודה,בוליט,60,19644.80,51490.72,61292.84,4343.87,1447.96,,59844.88,15300.93,20250724_232605,loan_קבועה צמודה_int_3.83_term_60_infl_1.0_summary.csv
פריים,4.83,150,4.0,100000,פריים,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230515,loan_פריים_int_4.83_term_150_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.97,300,2.0,100000,משתנה לא צמודה כל 5,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225847,loan_משתנה לא צמודה כל 5_int_4.97_term_300_infl_2.0_summary.csv
קבועה לא צמודה,5.05,360,1.0,100000,קבועה לא צמודה,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231625,loan_קבועה לא צמודה_int_5.05_term_360_infl_1.0_summary.csv
פריים,4.97,270,3.0,100000,פריים,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231016,loan_פריים_int_4.97_term_270_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.55,360,4.0,100000,משתנה צמודה כל שנה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005051,loan_משתנה צמודה כל שנה_int_3.55_term_360_infl_4.0_summary.csv
משתנה צמודה כל 10,3.63,300,2.0,100000,משתנה צמודה כל 2,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003622,loan_משתנה צמודה כל 10_int_3.63_term_300_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.55,330,1.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004216,loan_משתנה צמודה כל שנה_int_3.55_term_330_infl_1.0_summary.csv
פריים,5.05,330,4.0,100000,פריים,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231334,loan_פריים_int_5.05_term_330_infl_4.0_summary.csv
זכאות,3.55,360,4.0,100000,זכאות,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_004718,loan_זכאות_int_3.55_term_360_infl_4.0_summary.csv
זכאות,3.35,180,1.0,100000,זכאות,בוליט,180,54235.32,160889.01,279877.23,57793.02,19264.34,,260612.89,-3557.70,20250724_235919,loan_זכאות_int_3.35_term_180_infl_1.0_summary.csv
קבועה לא צמודה,4.92,90,2.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230305,loan_קבועה לא צמודה_int_4.92_term_90_infl_2.0_summary.csv
דולר,3.45,90,3.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233756,loan_דולר_int_3.45_term_90_infl_3.0_summary.csv
קבועה לא צמודה,5.04,60,1.0,100000,קבועה לא צמודה,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224704,loan_קבועה לא צמודה_int_5.04_term_60_infl_1.0_summary.csv
משתנה צמודה כל 2,3.63,270,4.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002759,loan_משתנה צמודה כל 2_int_3.63_term_270_infl_4.0_summary.csv
